Date Applied,Company,Position Title,Job Link,Location,Application Status,Follow-Up Date,Interview Date,Contact Person,Notes
2025-06-30, Stylus Medicine,"Principal Scientist, Process Development",https://job-boards.greenhouse.io/stylusmedicine/jobs/4695648007?gh_src=c7fda4c67us,"Cambridge, MA",Submitted,2025-07-01,2025-07-01,,
2025-07-01,Biogen,"Scientist II, Analytical Development",https://biibhr.wd3.myworkdayjobs.com/external/job/Cambridge-MA/Scientist-II--Analytical-Development_REQ21173?source=LinkedIn,"Cambridge, MA",Rejected,2025-07-01,2025-07-01,,
2025-06-30,Regeneron,"Senior Scientist, Bioanalytical Sciences",https://careers.regeneron.com/en/jobs/r39994/senior-scientist-bioanalytical-sciences/?source=LinkedIn,"Tarrytown, NY",Submitted,2025-07-01,2025-07-01,,
2025-06-30,AcousticaBio,"Scientist, Formulation/Drug Delivery",https://www.linkedin.com/jobs/view/4105598206/?refId=4747ee64-2cb6-47bf-a4f9-5638843dd191&trackingId=5%2B3cwapATJKM16nXMHiRyw%3D%3D,"Cambridge, MA ",Submitted,2025-07-01,2025-07-01,,
2025-06-29, Planet Pharma,"Scientist II, Research and Development ",https://www.linkedin.com/jobs/view/4258345841/?refId=a88b9668-1c4a-4520-b3bb-07ede3c8e0d5&trackingId=%2B4lU3v%2B3QMGi0FUI9SboEw%3D%3D,"Cambridge, MA",Submitted,2025-07-01,2025-07-01,,
2025-06-27,Rentschler,"Scientist, Upstream Process Development",https://rentschler.wd3.myworkdayjobs.com/Rentschler_Career/job/Milford-MA-United-States/Scientist--Upstream-Process-Development_JR2170?source=LinkedIn,"Milford, MA",Submitted,2025-07-01,2025-07-01,,
2025-06-27, Kodiak Sciences,"Scientist/Sr. Scientist, Protein Production and Purification",https://www.linkedin.com/jobs/view/4236260132/?refId=3ceea452-b266-4eca-954c-4403adf98e44&trackingId=0nb0xtGSQrK8xhkL51%2F2Ag%3D%3D,"Palo Alto, CA",Other,2025-07-01,2025-07-01,,Resume downloaded
2025-06-25, MilliporeSigma,Scientist 3-Focused Modality Applications,https://careers.emdgroup.com/us/en/job/288610/Scientist-3-Focused-Modality-Applications?utm_source=linkedin&utm_medium=phenom-feeds,"Stoneham, MA",Submitted,2025-07-01,2025-07-01,,
2025-06-25,Natera,"Scientist R&D, Reagent Development ",https://www.linkedin.com/jobs/view/4208468449/?refId=78030497-bbe0-4db1-9e4b-1ee0ed9c9f24&trackingId=L9ayGMmwS7CWJ8V92EcFnw%3D%3D,"San Francisco, CA ",Submitted,2025-07-01,2025-07-01,,
2025-06-25, ClearML,Junior Machine Learning Engineer,https://www.linkedin.com/jobs/view/4255365388/?refId=f1c9daf8-83d6-4ba7-ab8b-3fc62b4778d7&trackingId=LljxSiD5SICyNSIjdwayKw%3D%3D,Pennsylvania - remote,Submitted,2025-07-01,2025-07-01,,
